operator_id,wait_avg_op,wait_avg_internal,conv_missed_ratio,conv_missed_ratio_internas,conv_out_total,op_type,calls_count_total,outbound_calls_avg,flag_low_outbound_conv_total,flag_low_outbound_calls_avg,flag_low_outbound_calls_total,flag_wait_avg_op,flag_wait_avg_internal,flag_conv_missed_ratio,flag_conv_missed_ratio_internas,num_flags,is_inefficient,grupo
891252,,,,,13.0,outbound,86.0,6.615384615384615,False,False,False,,,False,False,0,False,Eficientes
891254,26.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
891410,124.47142857142858,,0.014285714285714285,,146.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
891414,100.38983050847457,,0.01694915254237288,,138.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
891416,44.276595744680854,,,,115.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
891646,23.428571428571427,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
891744,26.75,,,,4.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
891824,27.85714285714286,,,,12.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
891900,72.94117647058823,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
891906,61.44827586206897,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
891908,14.961538461538462,7.0,,,4.0,inbound,,,False,False,False,False,False,False,False,0,False,Eficientes
891918,31.2,,,,1.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
891946,24.307692307692307,,,,11.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
891948,3.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
891970,,,,,2.0,outbound,15.0,7.5,False,False,False,,,False,False,0,False,Eficientes
891988,61.34920634920635,,,,105.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
892028,,,,,59.0,outbound,478.0,10.622222222222222,False,False,False,,,False,False,0,False,Eficientes
892530,43.142857142857146,,,,7.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
892532,66.53571428571429,,,,38.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
892534,117.625,,,,6.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
892536,52.90909090909091,,,,10.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
892538,50.0,,,,19.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
892798,43.0,,,,3.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
893172,38.91304347826087,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
893400,31.0,8.0,,,2.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
893402,54.24,10.5,0.013157894736842105,,35.0,mixed,,,False,False,False,False,False,False,False,0,False,Eficientes
893674,,,,,65.0,outbound,687.0,14.617021276595745,False,False,False,,,False,False,0,False,Eficientes
894120,47.55555555555556,,0.1111111111111111,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
894224,25.666666666666668,6.333333333333333,,,,unknown,,,False,False,False,False,False,False,False,0,False,Eficientes
894226,,,,,2.0,outbound,4.0,2.0,False,False,True,,,False,False,1,False,Eficientes
894232,,14.333333333333334,,,,unknown,,,False,False,False,,False,False,False,0,False,Eficientes
894614,19.166666666666668,,0.16666666666666666,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
894656,32.2,,,,138.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
894662,9.0,,,,15.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
895140,76.0,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
895170,16.1,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
895172,15.333333333333334,,,,31.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
895266,10.0,,,,1.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
895370,,,,,2.0,outbound,10.0,5.0,False,False,False,,,False,False,0,False,Eficientes
895574,30.97872340425532,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
895576,30.175,,0.025,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
895578,22.81081081081081,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
895598,9.0,,,,2.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
895774,23.666666666666668,,,,33.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
895776,17.5,,0.1,,42.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
895782,31.125,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
895786,59.5,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
896008,,,,,,unknown,,,False,False,False,,,False,False,0,False,Eficientes
896010,26.571428571428573,,,,2.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
896012,23.725806451612904,,0.016129032258064516,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
896014,15.75,,,,4.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
896016,19.0,,,,60.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
896018,27.125,,,,2.0,inbound,,,False,False,False,False,,False,False,0,False,Eficientes
896020,5.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
896382,39.09090909090909,,,,13.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
896390,,,,,10.0,outbound,97.0,9.7,False,False,False,,,False,False,0,False,Eficientes
896428,23.625,,,,29.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
896430,13.0,,,,4.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
896536,58.109375,21.333333333333332,0.03125,,,unknown,,,False,False,False,False,False,False,False,0,False,Eficientes
896538,60.45454545454545,,0.09090909090909091,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
896708,72.0,,,,23.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
897030,15.2,,,,14.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
898422,46.7,,0.1,,12.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
898558,51.833333333333336,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
898560,78.0,,,,,unknown,,,False,False,False,True,,False,False,1,False,Eficientes
898676,8.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
898892,19.9,,,,36.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
898906,57.0,,,,8.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
898920,97.0,,,,3.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
899082,195.11594202898547,,,,135.0,mixed,,,False,False,False,True,,False,False,1,False,Eficientes
899250,54.48809523809524,,0.047619047619047616,,126.0,mixed,,,False,False,False,False,,False,False,0,False,Eficientes
899268,26.833333333333332,,0.08333333333333333,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
899788,,,,,34.0,outbound,424.0,13.25,False,False,False,,,False,False,0,False,Eficientes
899790,,,,,26.0,outbound,222.0,10.571428571428571,False,False,False,,,False,False,0,False,Eficientes
899892,31.666666666666668,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
899898,25.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
899906,19.0,,,,,unknown,,,False,False,False,False,,False,False,0,False,Eficientes
